repo,days_since_last_commit,bus_factor,issue_closure_rate_pct,pr_merge_rate_pct,commits_90d,contributors_sampled,has_ci,has_tests,archived,latest_release_age_days,latest_release_at,label
Anyesh/wardrowbe,0,1,61.1,76.1,100,14,1,1,0,2,2026-09-03T08:23:23Z,
Aperivue/medsci-skills,4,1,0,100.0,100,4,1,1,0,19,2026-08-17T09:19:45Z,
ApodexAI/AgentHarness,11,1,50.0,100.0,2,2,1,0,0,,,
ApodexAI/FrontierAgent,3,2,22.2,100.0,59,9,1,1,0,,,
Ar9av/obsidian-wiki,2,1,97.1,94.7,100,28,1,1,0,4,2026-08-31T21:02:37Z,
Araak6587/Financial-Recon-Automation,0,1,0,0,1,2,0,0,0,,,
Aratako/Irodori-TTS,25,1,60.0,38.9,4,6,0,0,0,,,
ArcReel/ArcReel,0,1,90.3,80.5,100,18,1,1,0,0,2026-09-05T08:55:08Z,
Arcadia-1/virtuoso-bridge-lite,1,1,100.0,85.0,86,18,1,1,0,16,2026-08-19T18:36:09Z,
Arish0limbu/Arish0limbu,0,1,0,0,100,1,1,0,0,,,
Arkalogy/best-photo-picker,0,1,0,25.0,6,3,1,1,0,0,2026-09-05T08:46:25Z,
Ars1027/astrbot_plugin_twitter,0,1,94.1,100.0,23,4,0,1,0,,,
Artem7898/django-nova,0,1,0,94.4,100,1,1,1,0,0,2026-09-05T01:54:34Z,
ArtheosClub/Bizzi_Project,0,1,0,97.5,100,2,1,1,0,,,
ArthurkaX/cds-text-sync,0,1,100.0,0,100,1,0,1,0,19,2026-08-17T07:27:27Z,
Arvo-AI/aurora,0,2,12.5,75.7,77,11,1,1,0,8,2026-08-27T16:35:48Z,
Ascom11/fmriprep-skills,0,1,0,0,19,1,0,0,0,,,
Ashwani1611/shvya-ai,0,1,0,100.0,100,3,1,1,0,,,
Astro-Han/karpathy-llm-wiki,43,1,0,0,14,1,0,1,0,,,
Astro-Han/skills,0,1,0,100.0,100,1,0,1,0,,,
AstroVela/vane,0,2,55.3,91.2,100,39,1,1,0,25,2026-08-11T04:46:44Z,
